Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2020-04-17,2020-07-17,2020-07-24,6.491422878539646,1400,1802.7979618280308,28.771282987716486,2260.380210452881,61.45572931806292
2020-04-18,2020-07-18,2020-07-25,6.424143098191238,1400,1881.5030305982498,34.3930736141607,2280.7431304928245,62.910223606630325
2020-04-19,2020-07-19,2020-07-26,6.418419158838666,1400,1978.9911792447258,41.356512803194704,2344.587474879148,67.47053391993914
2020-04-20,2020-07-20,2020-07-27,6.452821499825582,1400,2066.064387814155,47.57602770101107,2515.443322109989,79.67452300785635
2020-04-21,2020-07-21,2020-07-28,6.415168408961385,1400,2032.3895036430565,45.170678831646896,2565.7083357436222,83.26488112454444
2020-04-22,2020-07-22,2020-07-29,6.328639409017052,1400,2017.2538116241853,44.0895579731561,2509.9836886214075,79.28454918724339
2020-04-23,2020-07-23,2020-07-30,6.279116422701863,1400,2054.4641023438226,46.74743588170161,2479.9198743977045,77.13713388555033
2020-04-24,2020-07-24,2020-07-31,6.270136225370761,1400,2125.4507776761807,51.81791269115577,2528.0843809929684,80.57745578521202
2020-04-25,2020-07-25,2020-08-01,6.209344465281411,1400,2273.9861300753587,62.42758071966848,2661.620723667134,90.11576597622386
2020-04-26,2020-07-26,2020-08-02,6.199593439901361,1400,2381.821803675704,70.13012883397886,2729.4529584898,94.96092560641429
2020-04-27,2020-07-27,2020-08-03,6.203978589563053,1400,2375.6274815154843,69.68767725110602,2728.1832061068703,94.8702290076336
2020-04-28,2020-07-28,2020-08-04,6.152345640978857,1400,2410.7351159611553,72.19536542579681,2787.1964231277307,99.0854587948379
2020-04-29,2020-07-29,2020-08-05,6.079903568429621,1400,2409.2225880259216,72.08732771613727,2663.4211916078543,90.24437082913245
2020-04-30,2020-07-30,2020-08-06,6.04336003074138,1400,2405.499026636299,71.82135904544992,2568.236703843673,83.44547884597662
2020-05-01,2020-07-31,2020-08-07,6.03243059145368,1400,2310.9638352799902,65.06884537714215,2521.513869299483,80.10813352139164
2020-05-02,2020-08-01,2020-08-08,5.963274436401985,1400,2299.8560518871536,64.27543227765383,2518.8374696771784,79.91696211979846
2020-05-03,2020-08-02,2020-08-09,5.952421661337592,1400,2337.9921801401792,66.99944143858423,2569.828955977194,83.55921114122813
2020-05-04,2020-08-03,2020-08-10,5.956223891433853,1400,2353.9592441335726,68.13994600954089,2693.2145638629286,92.37246884735204
2020-05-05,2020-08-04,2020-08-11,5.899473400281537,1400,2269.350432886299,62.096459491878505,2590.3703703703704,85.02645502645503
2020-05-06,2020-08-05,2020-08-12,5.852163269562381,1400,2221.5982203912713,58.6855871708051,2557.716925742336,82.69406612445258
2020-05-07,2020-08-06,2020-08-13,5.833719093031661,1400,2370.298404689694,69.30702890640671,2731.7581520434137,95.12558228881527
2020-05-08,2020-08-07,2020-08-14,5.823320112137092,1400,2527.0879958630126,80.50628541878662,2857.954652366168,104.13961802615486
